source_id,country,region,iso3n,source_name,source_url,source_type,renderer,leaders_covered,date_start,date_end,language,content_format,recipe_status
afg_aop,Afghanistan,,4.0,aop.gov.af,https://aop.gov.af/,official_gov,unknown,,,,Dari/Pashto,fulltext,blocked
afg_aop_wayback,Afghanistan,,4.0,aop.gov.af (Wayback),https://aop.gov.af/,official_gov,static,Ashraf Ghani,2015,2026,Dari/Pashto,fulltext,draft
afg_aop_dari_wayback,Afghanistan,Asia,4.0,aop.gov.af (old Dari /dari/ scheme; Wayback),https://aop.gov.af/,official_gov,static,Ashraf Ghani,2016,2021,Dari,fulltext,partial
afg_aop_english_wayback,Afghanistan,Asia,4.0,aop.gov.af (old English /english/ scheme; Wayback),https://aop.gov.af/,official_gov,static,Ashraf Ghani,2016,2021,English,fulltext,partial
afg_president_gov_wayback,Afghanistan,Asia,4.0,president.gov.af (Karzai-era; Wayback),https://president.gov.af/,official_gov,static,Hamid Karzai; Ashraf Ghani,2006,2021,Dari/Pashto/English,fulltext,partial
alb_president,Albania,,8.0,president.al,https://president.al/,official_gov,cdp,,,2026,Albanian,fulltext,draft
alb_kryeministria,Albania,,8.0,kryeministria.al,https://kryeministria.al,official_gov,js,Edi Rama,,2026,Albanian,fulltext,draft
alb_president_wayback,Albania,,8.0,president.al (Wayback),https://president.al/,official_gov,static,Nishani; Meta; Begaj,2018,2025,Albanian,fulltext,partial
alb_president_english_wayback,Albania,Europe,8.0,president.al (old English /english/ ASP; Wayback),https://president.al/ (Wayback/CDX),official_gov,static,Moisiu; Topi,2003,2011,English,fulltext,partial
dza_presidency,Algeria,Africa,12.0,el-mouradia.dz,https://www.el-mouradia.dz/,official_gov,static,President (Tebboune),,,Arabic/French,fulltext,none
ago_angop,Angola,Africa,24.0,ANGOP (state news agency),https://www.angop.ao/pt/angola/politica/discursos-do-presidente/,state_news_agency,static,President (Joao Lourenco),,,Portuguese,fulltext,none
arg_casarosada,Argentina,South America,32.0,casarosada.gob.ar,https://www.casarosada.gob.ar/,official_gov,static,"Milei, Fernández, Macri, Kirchner",,,Spanish,fulltext,validated
arg_casarosada_wayback,Argentina,South America,32.0,casarosada.gob.ar (Wayback),https://www.casarosada.gob.ar/informacion/discursos (Wayback/CDX),official_gov (archived),static,"Kirchner-era (CFK, N. Kirchner)",2007,1905-07-07 00:00:00,Spanish,fulltext,draft
arm_president,Armenia,,51.0,president.am,https://www.president.am/,official_gov,js,,,,,,draft
arm_president_wayback,Armenia,Asia,51.0,president.am (Wayback),president.am/en/press-release/item (Wayback/CDX),official_gov (archived),static,Sargsyan/Sarkissian/Khachaturyan,2008,2022,English,fulltext,draft
aus_gg,Australia,,36.0,gg.gov.au,https://www.gg.gov.au/,official_gov,unknown,,,,,,blocked
aus_gg_wayback,Australia,Oceania,36.0,gg.gov.au,http://www.gg.gov.au/speeches/html/speeches (via Internet Archive),official_gov,static,governor-general. FULL RUN pending (researcher gate).,1996,2006,English,fulltext,draft
aut_bundespraesident,Austria,,40.0,bundespraesident.at,https://www.bundespraesident.at/,official_gov,unknown,,,,,,draft
aze_president,Azerbaijan,,31.0,president.az,https://president.az/,official_gov,unknown,,,,,,draft
