speaker,ISO3N,country,year,matchDF,COWcode,stateabb,ccode,is_ceremonial
Hibatullah Akhundzada,4,Afghanistan,2021,leader,NA,AFG,700,FALSE
Hibatullah Akhundzada,4,Afghanistan,2022,leader,NA,AFG,700,FALSE
Hibatullah Akhundzada,4,Afghanistan,2023,leader,NA,AFG,700,FALSE
Hibatullah Akhundzada,4,Afghanistan,2024,leader,NA,AFG,700,FALSE
Hibatullah Akhundzada,4,Afghanistan,2025,leader,NA,AFG,700,FALSE
Hibatullah Akhundzada,4,Afghanistan,2026,leader,NA,AFG,700,FALSE
Mohammad Hasan Akhund,4,Afghanistan,2021,leader,NA,AFG,700,FALSE
Mohammad Hasan Akhund,4,Afghanistan,2022,leader,NA,AFG,700,FALSE
Mohammad Hasan Akhund,4,Afghanistan,2023,leader,NA,AFG,700,FALSE
Mohammad Hasan Akhund,4,Afghanistan,2024,leader,NA,AFG,700,FALSE
Mohammad Hasan Akhund,4,Afghanistan,2025,leader,NA,AFG,700,FALSE
Mohammad Hasan Akhund,4,Afghanistan,2026,leader,NA,AFG,700,FALSE
