speaker,ISO3N,country,year,matchDF,COWcode,stateabb,ccode,is_ceremonial
Rodrigues Alves,76,Brazil,1902,leader,NA,BRA,140,FALSE
Rodrigues Alves,76,Brazil,1903,leader,NA,BRA,140,FALSE
Rodrigues Alves,76,Brazil,1904,leader,NA,BRA,140,FALSE
Rodrigues Alves,76,Brazil,1905,leader,NA,BRA,140,FALSE
Afonso Pena,76,Brazil,1906,leader,NA,BRA,140,FALSE
Rodrigues Alves,76,Brazil,1906,leader,NA,BRA,140,FALSE
Afonso Pena,76,Brazil,1907,leader,NA,BRA,140,FALSE
Afonso Pena,76,Brazil,1908,leader,NA,BRA,140,FALSE
Afonso Pena,76,Brazil,1909,leader,NA,BRA,140,FALSE
Nilo Peçanha,76,Brazil,1909,leader,NA,BRA,140,FALSE
Hermes da Fonseca,76,Brazil,1910,leader,NA,BRA,140,FALSE
Nilo Peçanha,76,Brazil,1910,leader,NA,BRA,140,FALSE
Hermes da Fonseca,76,Brazil,1911,leader,NA,BRA,140,FALSE
Hermes da Fonseca,76,Brazil,1912,leader,NA,BRA,140,FALSE
Hermes da Fonseca,76,Brazil,1913,leader,NA,BRA,140,FALSE
Hermes da Fonseca,76,Brazil,1914,leader,NA,BRA,140,FALSE
Venceslau Brás,76,Brazil,1914,leader,NA,BRA,140,FALSE
Venceslau Brás,76,Brazil,1915,leader,NA,BRA,140,FALSE
Venceslau Brás,76,Brazil,1916,leader,NA,BRA,140,FALSE
Venceslau Brás,76,Brazil,1917,leader,NA,BRA,140,FALSE
Delfim Moreira,76,Brazil,1918,leader,NA,BRA,140,FALSE
Venceslau Brás,76,Brazil,1918,leader,NA,BRA,140,FALSE
Delfim Moreira,76,Brazil,1919,leader,NA,BRA,140,FALSE
Epitácio Pessoa,76,Brazil,1919,leader,NA,BRA,140,FALSE
Epitácio Pessoa,76,Brazil,1920,leader,NA,BRA,140,FALSE
Epitácio Pessoa,76,Brazil,1921,leader,NA,BRA,140,FALSE
Artur Bernardes,76,Brazil,1922,leader,NA,BRA,140,FALSE
Epitácio Pessoa,76,Brazil,1922,leader,NA,BRA,140,FALSE
Artur Bernardes,76,Brazil,1923,leader,NA,BRA,140,FALSE
Artur Bernardes,76,Brazil,1924,leader,NA,BRA,140,FALSE
Artur Bernardes,76,Brazil,1925,leader,NA,BRA,140,FALSE
Artur Bernardes,76,Brazil,1926,leader,NA,BRA,140,FALSE
Washington Luís,76,Brazil,1926,leader,NA,BRA,140,FALSE
Washington Luís,76,Brazil,1927,leader,NA,BRA,140,FALSE
