speaker,ISO3N,country,year,matchDF,COWcode,stateabb,ccode,is_ceremonial
Iván Duque Márquez,170,Colombia,2018,leader,NA,COL,100,FALSE
Iván Duque Márquez,170,Colombia,2019,leader,NA,COL,100,FALSE
Iván Duque Márquez,170,Colombia,2020,leader,NA,COL,100,FALSE
Iván Duque Márquez,170,Colombia,2021,leader,NA,COL,100,FALSE
Iván Duque Márquez,170,Colombia,2022,leader,NA,COL,100,FALSE
Gustavo Petro,170,Colombia,2022,leader,NA,COL,100,FALSE
Gustavo Petro,170,Colombia,2023,leader,NA,COL,100,FALSE
Gustavo Petro,170,Colombia,2024,leader,NA,COL,100,FALSE
Gustavo Petro,170,Colombia,2025,leader,NA,COL,100,FALSE
Gustavo Petro,170,Colombia,2026,leader,NA,COL,100,FALSE
Abelardo De La Espriella,170,Colombia,2026,leader,NA,COL,100,FALSE
